timestamp, total_error, angular_error_deg, lat_error1, long_error1, lat_error2, long_error2
1438696873548, 0.0718049, -1.40499, 0.0518368, -0.0496879, 0.0530395, -0.048402
1438696873892, 0.221933, -1.44802, 0.0201617, -0.221015, 0.0257403, -0.220435
1438696874230, 0.221509, -1.40206, 0.0397269, -0.217918, 0.045047, -0.21688
1438696874571, 0.215515, -1.54053, 0.0387336, -0.212005, 0.0444192, -0.210887
1438696874928, 0.222087, -1.57463, 0.0879098, -0.203947, 0.0934808, -0.201455
1438696875241, 0.0965091, -1.25469, 0.0108256, -0.0959, 0.0129229, -0.09564
1438696875642, 0.279751, -2.9734, 0.197728, -0.1979, 0.207727, -0.187377
1438696875947, 0.25056, -2.18237, 0.144265, -0.20486, 0.151961, -0.199218
1438696876332, 0.200987, -2.6828, 0.0865812, -0.181382, 0.0949761, -0.17713
1438696876649, 0.262825, -2.4408, 0.129538, -0.228685, 0.13916, -0.222961
1438696876992, 0.205249, -2.96195, 0.0793086, -0.189307, 0.0889847, -0.184956
1438696877358, 0.228834, -3.33632, 0.0962578, -0.207604, 0.108177, -0.20165
1438696877682, 0.224369, -3.32193, 0.0911265, -0.20503, 0.102854, -0.199406
1438696878057, 0.247619, -3.51437, 0.140257, -0.204066, 0.152502, -0.195085
1438696878371, 0.218481, -3.49524, 0.0921098, -0.198116, 0.104017, -0.192131
1438696878725, 0.217088, -3.49738, 0.104431, -0.190319, 0.115846, -0.183594
1438696879102, 0.196263, -3.56842, 0.0881172, -0.17537, 0.0988614, -0.169545
1438696879451, 0.199446, -3.81295, 0.125643, -0.154896, 0.135665, -0.146198
1438696909444, 0.267029, -0.0808789, 0.116814, 0.240123, 0.116475, 0.240287
1438696909818, 0.0538789, -0.66187, -0.015365, 0.0516415, -0.0159606, 0.0514606
1438696910240, 0.054154, -1.06534, -0.0314053, 0.0441176, -0.0322201, 0.0435261
1438696910627, 0.0322142, -1.26161, 0.00551906, 0.0317379, 0.00481894, 0.0318517
1438696910820, 0.225168, -349.903, -0.00527269, 0.225106, 0.0342729, 0.222544
1438696974443, 0.0766881, -1.26881, -0.0226209, -0.0732759, -0.0209928, -0.0737588
1438696974807, 0.097324, -1.03297, -0.0363809, 0.0902684, -0.0380023, 0.0895979
1438696975200, 0.0969256, -0.863033, -0.0562885, 0.0789062, -0.0574706, 0.0780494
1438696975565, 0.109219, -0.763875, -0.0739518, 0.080373, -0.0750168, 0.0793799
1438696975969, 0.103378, -0.83499, -0.0684941, 0.0774311, -0.0696152, 0.0764247
1438696976339, 0.0981533, -0.750038, -0.0711577, 0.0676066, -0.0720366, 0.0666693
1438696976712, 0.0754187, -0.942644, -0.0377815, 0.0652728, -0.0388502, 0.0646424
1438696977040, 0.16096, -0.88356, -0.0476039, 0.15376, -0.0499693, 0.153008
1438696977448, 0.0768269, -0.780656, -0.0539155, 0.0547311, -0.0546561, 0.0539915
1438696977771, 0.0816246, -0.812442, -0.0587842, 0.0566303, -0.0595812, 0.0557911
1438696978126, 0.0741994, -0.858812, -0.0559245, 0.0487647, -0.0566491, 0.047921
1438696978493, 0.0575815, -1.054, -0.04298, -0.0383189, -0.0422679, -0.0391031
1438696978855, 0.0526291, -1.2238, -0.0189415, 0.0491024, -0.0199859, 0.0486866
1438696979178, 0.0322823, -1.35952, 0.000943713, -0.0322685, 0.00170905, -0.0322371
1438696979494, 0.0581298, -1.55389, 0.0180009, 0.0552724, 0.0164954, 0.0557402
1438696979864, 0.0716827, -1.6639, 0.0380166, 0.0607712, 0.036236, 0.0618495
1438696980212, 0.0855899, -1.97264, 0.0594868, 0.0615382, 0.0573333, 0.0635494
