timestamp, total_error, angular_error_deg, lat_error1, long_error1, lat_error2, long_error2
1438868104342, 0.182855, -170.772, -0.0126849, 0.182414, -0.0167333, -0.182087
1438868104742, 5.33164, -1.97574, -5.33161, 0.0199429, -5.32912, -0.163883
1438868105109, 5.336, -2.33089, -5.33597, 0.0180492, -5.33229, -0.198982
1438868105510, 5.33729, -2.09977, -5.33672, -0.0779102, -5.33028, -0.273394
1438868105944, 5.37421, -2.40966, -5.36952, -0.224559, -5.35533, -0.450117
1438868106346, 5.44512, -2.8228, -5.42874, -0.421997, -5.40137, -0.688835
1438868106743, 5.46488, -3.10709, -5.43783, -0.543061, -5.4004, -0.837006
1438868107113, 5.47927, -2.90649, -5.45987, -0.460778, -5.42948, -0.737033
1438868107475, 5.50043, -2.9571, -5.4789, -0.486214, -5.44652, -0.768214
1438868107908, 5.50774, -2.90441, -5.48606, -0.488178, -5.45428, -0.765529
1438868108278, 5.51794, -2.95478, -5.49505, -0.502105, -5.46186, -0.784695
1438868108642, 5.51794, -2.95478, -5.49505, -0.502105, -5.46186, -0.784695
1438868109046, 5.51794, -2.95478, -5.49505, -0.502105, -5.46186, -0.784695
1438868109442, 5.51794, -2.95478, -5.49505, -0.502105, -5.46186, -0.784695
1438868109808, 5.51794, -2.95478, -5.49505, -0.502105, -5.46186, -0.784695
1438868110147, 5.51793, -2.96795, -5.49511, -0.501242, -5.46179, -0.785092
1438868110544, 5.51794, -2.95478, -5.49505, -0.502105, -5.46186, -0.784695
1438868110979, 5.51794, -2.95478, -5.49505, -0.502105, -5.46186, -0.784695
1438868111447, 5.51794, -2.95478, -5.49505, -0.502105, -5.46186, -0.784695
1438868111873, 5.51793, -2.96795, -5.49511, -0.501242, -5.46179, -0.785092
1438868112311, 5.51794, -2.95478, -5.49505, -0.502105, -5.46186, -0.784695
1438868112747, 5.51785, -2.96766, -5.49506, -0.501035, -5.46175, -0.784856
1438868113147, 5.51793, -2.96795, -5.49511, -0.501242, -5.46179, -0.785092
1438868113581, 5.49368, -2.94166, -5.47039, -0.505305, -5.43725, -0.785375
1438868114041, 5.47383, -2.74074, -5.44924, -0.518305, -5.41822, -0.778277
1438868114440, 5.47476, -2.7564, -5.45056, -0.514121, -5.41953, -0.775642
1438868114908, 5.51209, -2.71004, -5.48928, -0.500982, -5.45945, -0.759963
1438868147817, 2.25095, -14.7224, -0.826704, 2.09364, -1.33163, 1.81481
1438868148259, 2.70062, -14.2578, -0.787838, 2.58315, -1.39976, 2.30955
1438868148744, 3.14907, -14.04, -0.77391, 3.0525, -1.49132, 2.77356
1438868149219, 3.03739, -14.231, -0.835352, 2.92026, -1.52761, 2.62529
1438868149640, 3.15971, -13.8489, -0.750188, 3.06937, -1.46307, 2.80057
1438868150100, 4.91478, -12.1098, -0.406051, 4.89798, -1.42454, 4.70381
1438868150536, 4.87636, -12.7604, -0.481869, 4.85249, -1.54176, 4.62621
1438868151019, 5.06175, -12.6586, -0.530279, 5.03389, -1.62052, 4.79533
1438868151302, 6.34816, -353.586, -2.39048, 5.88087, -1.71859, 6.1111
1438868187369, 5.4897, -168.672, -2.11483, 5.066, 1.07858, -5.38271
1438868187771, 6.55541, -1.17086, -4.31054, -4.93889, -4.20872, -5.02594
1438868188147, 6.63282, -1.335, -4.21247, -5.12342, -4.09196, -5.22017
1438868188512, 6.61462, -1.2806, -4.20414, -5.1067, -4.08896, -5.19938
1438868188908, 6.6466, -1.20318, -4.27632, -5.08826, -4.16853, -5.17693
1438868189308, 6.449, -0.037124, -3.99746, -5.06062, -3.99418, -5.06321
1438868189704, 6.40181, -0.353756, -3.85766, -5.10897, -3.82605, -5.13269
1438868190076, 6.38718, -0.178361, -3.76453, -5.15988, -3.74845, -5.17157
1438868190439, 6.31703, 0.00390681, -3.61523, -5.18025, -3.61559, -5.18
1438868190838, 6.26235, -0.0156075, -3.46724, -5.2149, -3.46582, -5.21585
1438868191205, 6.36515, -0.160802, -3.54031, -5.28974, -3.52545, -5.29966
1438868191570, 6.37235, -0.260914, -3.50489, -5.32189, -3.48062, -5.3378
1438868191905, 6.4545, -170.835, -2.88618, 5.77326, 1.92975, -6.15927
1438868223090, 8.9834, -12.3562, 0.291263, 8.97868, -1.63682, 8.83303
1438868223573, 8.87284, -12.4004, 0.301255, 8.86772, -1.61005, 8.72554
1438868224018, 8.84971, -12.6349, 0.377507, 8.84165, -1.56564, 8.71012
1438868224457, 8.83378, -12.542, 0.425694, 8.82352, -1.50053, 8.70541
1438868224895, 8.86375, -12.6281, 0.454303, 8.8521, -1.49194, 8.73729
1438868225374, 8.93796, -12.5965, 0.479897, 8.92507, -1.47806, 8.8149
1438868225809, 8.89242, -13.2918, 0.400046, 8.88342, -1.65306, 8.73742
1438868226294, 8.9887, -12.8976, 0.428416, 8.97849, -1.58647, 8.84759
1438868226734, 8.15856, -16.993, -0.00457264, 8.15856, -2.38875, 7.80103
1438868227210, 8.10477, -17.564, -0.0245726, 8.10473, -2.4692, 7.71948
1438868227627, 8.28628, -17.345, -0.0494122, 8.28614, -2.51746, 7.89461
1438868228016, 8.83755, -358.901, -2.93042, 8.33756, -2.7699, 8.39225
1438868264601, 11.286, -164.763, -2.84578, 10.9213, -0.124554, -11.2853
1438868264980, 11.9129, 3.831, -4.5499, -11.0098, -5.27534, -10.6812
1438868265340, 12.0933, 3.54215, -4.44699, -11.246, -5.13331, -10.9498
1438868265676, 12.0633, 3.74363, -4.28822, -11.2754, -5.01526, -10.9713
1438868266041, 12.1026, 3.03242, -4.16917, -11.3619, -4.76439, -11.1254
1438868266415, 12.0985, 2.71398, -3.97535, -11.4268, -4.51195, -11.2257
1438868266773, 12.1226, 2.53361, -3.74831, -11.5286, -4.25428, -11.3516
1438868267139, 12.1074, 2.71583, -3.51557, -11.5858, -4.06058, -11.4062
