timestamp, total_error, angular_error_deg, lat_error1, long_error1, lat_error2, long_error2
1438868872270, 0.0632018, -0.271716, -0.0391287, -0.0496328, -0.0388929, -0.0498178
1438868872572, 0.0738516, -0.335858, -0.0597981, -0.0433387, -0.059543, -0.0436885
1438868872869, 0.0439615, -0.0654488, -0.042359, -0.0117615, -0.0423455, -0.0118098
1438868873135, 0.0401176, -0.0671485, -0.0386368, -0.0107991, -0.0386241, -0.0108444
1438868873468, 0.0758536, -0.647967, -0.0175985, -0.0737838, -0.016763, -0.0739781
1438868873795, 0.0806351, -0.599217, -0.0389536, -0.0706019, -0.0382131, -0.0710054
1438868874107, 0.0732493, -0.675002, 0.0174924, -0.07113, 0.0183292, -0.070919
1438868874436, 0.0703732, -0.702484, -0.00222223, -0.0703382, -0.00135969, -0.0703601
1438868874803, 0.0733426, -0.732124, 0.0295714, -0.0671168, 0.0304266, -0.0667335
1438868875202, 0.0740749, -0.814795, 0.0347551, -0.0654154, 0.0356818, -0.0649146
1438868875707, 0.0778104, -1.04719, 0.0399158, -0.0667921, 0.0411298, -0.0660515
1438868876069, 0.0599322, -1.02368, 0.0173735, -0.0573588, 0.0183955, -0.0570393
1438868969659, 6.49032, -42.2012, 5.89253, 2.72072, 2.53752, 5.97371
1438868970059, 6.55959, -42.861, 5.97988, 2.69615, 2.54931, 6.04394
1438868970419, 6.56809, -43.4584, 5.99461, 2.68411, 2.50513, 6.07159
1438868970819, 6.3977, -46.6216, 6.0847, 1.97663, 2.74237, 5.78014
1438868971258, 6.48971, -47.3819, 6.18232, 1.97365, 2.73372, 5.88584
1438868971654, 6.17953, -49.4012, 5.91413, 1.79157, 2.48836, 5.65639
1438868972099, 6.25197, -50.5429, 6.0193, 1.68973, 2.52062, 5.72133
1438868972464, 6.24937, -51.0827, 6.02285, 1.66731, 2.48629, 5.7335
1438868972857, 6.29738, -51.1685, 6.06696, 1.68791, 2.48931, 5.7845
1438868973255, 6.35032, -51.1311, 6.08885, 1.80345, 2.41687, 5.87242
1438868973615, 6.43473, -50.9638, 6.14755, 1.90089, 2.39528, 5.9723
1438868974014, 6.51385, -50.8698, 6.19591, 2.01018, 2.35082, 6.07485
1438868974414, 6.56535, -50.7865, 6.20641, 2.14108, 2.26487, 6.16231
1438868974812, 6.68905, -50.6561, 6.34651, 2.11309, 2.38935, 6.24775
1438868975213, 6.51415, -52.1223, 6.11721, 2.23918, 1.9884, 6.20326
1438869016098, 29.8344, -73.5145, 23.6816, -18.1459, 24.1202, 17.5588
1438869016532, 30.1948, 278.439, 20.7382, -21.9465, 24.7523, 17.293
1438869016932, 30.1564, 278.229, 20.593, -22.0304, 24.751, 17.2278
1438869017363, 30.2342, 277.891, 20.345, -22.3649, 24.9463, 17.0819
1438869017764, 30.1971, 277.739, 20.1179, -22.5196, 25.0237, 16.902
1438869018196, 30.1331, 277.849, 19.8499, -22.6713, 25.1696, 16.5679
1438869018628, 29.9446, 269.666, 18.2591, -23.7336, 23.6267, 18.3973
1438869019027, 29.8785, 270.015, 17.9401, -23.893, 23.8978, 17.9338
1438869019461, 29.8046, 269.783, 17.3545, -24.2308, 24.165, 17.4461
1438869019897, 29.7006, 269.611, 16.56, -24.6555, 24.5425, 16.7269
1438869020298, 29.5886, 269.636, 15.6719, -25.0973, 24.9974, 15.8308
1438869020727, 29.381, 270.228, 14.4551, -25.5792, 25.6366, 14.3529
1438869021166, 28.538, -62.7477, 23.3695, -16.3793, 25.2623, 13.2752
1438869041499, 8.61599, 255.658, 6.84666, 5.23054, -6.7635, 5.33764
1438869041942, 9.22097, 255.904, 7.19859, 5.76252, -7.34221, 5.57838
1438869042360, 9.64105, 256.151, 7.51598, 6.0382, -7.66171, 5.85218
1438869042819, 10.1167, 256.058, 7.88479, 6.33853, -8.05156, 6.12531
1438869043256, 10.5222, 255.361, 8.09387, 6.72347, -8.55073, 6.13195
1438869043694, 10.9508, 255.251, 8.36517, 7.06705, -8.96382, 6.2904
1438869044138, 11.4044, 255.975, 8.72438, 7.34471, -9.24012, 6.68429
1438869044575, 11.7079, 257.481, 8.93473, 7.56616, -9.32304, 7.08216
1438869044976, 12.1119, 256.874, 9.08454, 8.01052, -9.86431, 7.02799
1438869045478, 12.9048, 255.754, 9.40389, 8.83752, -10.88, 6.93984
1438869045978, 14.8359, 261.999, 11.1107, 9.83132, -11.2821, 9.63419
1438869046468, 19.1205, -20.1226, -11.083, 15.5808, -15.7667, 10.8168
1438869081728, 26.3421, -264.862, 26.2771, -1.84884, -4.19449, -26.006
1438869082159, 31.3826, -95.3012, -30.6015, 6.95791, -4.10084, -31.1135
1438869082564, 31.1336, -96.176, -30.3088, 7.1186, -3.81656, -30.8988
1438869082960, 31.0381, -96.0839, -30.1827, 7.2365, -3.99683, -30.7797
1438869083349, 30.9595, -96.0934, -30.0893, 7.28872, -4.05358, -30.693
1438869083749, 30.8768, -96.1015, -29.9922, 7.33754, -4.10812, -30.6023
1438869084142, 30.7919, -96.1029, -29.8925, 7.38769, -4.16781, -30.5085
1438869084548, 30.6764, -96.0797, -29.7574, 7.45249, -4.25889, -30.3793
1438869084930, 30.5199, -96.0916, -29.5698, 7.5557, -4.37514, -30.2047
1438869085358, 30.3098, -96.1863, -29.308, 7.72846, -4.52519, -29.9701
1438869085759, 30.086, -96.1435, -29.0421, 7.85625, -4.70307, -29.7161
1438869086136, 29.8583, -96.1489, -28.7602, 8.02301, -4.89626, -29.4541
1438869086559, 24.4274, -268.13, 23.9474, -4.81878, -5.59749, -23.7775
1438869118889, 17.7687, 288.936, -12.6412, 12.4872, -15.9136, -7.90473
1438869119452, 17.7812, 288.873, -12.4793, 12.6664, -16.0222, -7.71106
1438869119936, 17.7096, 287.391, -12.5256, 12.5196, -15.6911, -8.211
1438869120491, 17.7346, 287.304, -12.2997, 12.7764, -15.8566, -7.94266
1438869120971, 18.039, 286.451, -12.437, 13.0662, -16.0534, -8.22767
1438869121447, 18.1419, 286.112, -12.3129, 13.3237, -16.2173, -8.13179
1438869121929, 18.5406, 289.603, -11.7876, 14.311, -17.4363, -6.30302
1438869122405, 18.5195, 290.371, -11.4893, 14.5247, -17.6157, -5.71481
1438869122891, 18.7934, 291.397, -11.3693, 14.9643, -18.0808, -5.12624
1438869123370, 18.6703, 291.801, -11.1673, 14.9624, -18.0396, -4.81175
1438869123806, 18.6439, 291.861, -11.1153, 14.9681, -18.0306, -4.74263
1438869124246, 18.8262, 291.685, -11.1538, 15.1664, -18.2144, -4.76046
1438869124727, 18.8955, 291.713, -11.1405, 15.2621, -18.3007, -4.70368
1438869125206, 18.9166, 291.549, -11.1921, 15.2505, -18.2953, -4.80824
1438869125687, 18.5658, 293.268, -10.8585, 15.0593, -18.1239, -4.02653
1438869126169, 18.5688, 293.354, -10.8807, 15.0469, -18.1274, -4.02466
1438869126650, 18.5688, 293.354, -10.8807, 15.0469, -18.1274, -4.02466
1438869127085, 18.5658, 293.268, -10.8585, 15.0593, -18.1239, -4.02653
1438869127526, 18.5658, 293.268, -10.8585, 15.0593, -18.1239, -4.02653
1438869127971, 18.5688, 293.354, -10.8807, 15.0469, -18.1274, -4.02466
1438869128411, 18.569, 293.351, -10.8803, 15.0474, -18.1275, -4.02498
1438869128848, 18.5681, 293.334, -10.8754, 15.05, -18.1267, -4.02488
1438869129294, 18.569, 293.351, -10.8803, 15.0474, -18.1275, -4.02498
1438869129730, 18.5658, 293.268, -10.8585, 15.0593, -18.1239, -4.02653
1438869130166, 18.566, 293.265, -10.858, 15.0599, -18.1241, -4.02685
1438869130646, 18.566, 293.265, -10.858, 15.0599, -18.1241, -4.02685
1438869131099, 18.5658, 293.268, -10.8585, 15.0593, -18.1239, -4.02653
1438869131530, 18.5658, 293.268, -10.8585, 15.0593, -18.1239, -4.02653
1438869131928, 18.5658, 293.268, -10.8585, 15.0593, -18.1239, -4.02653
1438869132410, 18.5658, 293.268, -10.8585, 15.0593, -18.1239, -4.02653
1438869132825, 18.5658, 293.268, -10.8585, 15.0593, -18.1239, -4.02653
1438869133045, 18.5658, 293.268, -10.8585, 15.0593, -18.1239, -4.02653
