timestamp, total_error, angular_error_deg, lat_error1, long_error1, lat_error2, long_error2
1438869415592, 0.0612469, -0.946125, 0.0518473, 0.0326043, 0.0513019, 0.033456
1438869415956, 0.0569158, -0.809576, 0.045063, 0.0347668, 0.0445673, 0.0354
1438869416272, 0.0808967, -0.839534, 0.0709352, 0.0388906, 0.0703578, 0.0399257
1438869416671, 0.0941885, -0.941894, 0.0869868, 0.0361216, 0.0863812, 0.0375466
1438869416991, 0.1015, -0.820917, 0.092892, 0.0409051, 0.0922965, 0.0422317
1438869417403, 0.106011, -0.849264, 0.098268, 0.0397701, 0.0976678, 0.0412222
1438869417758, 0.100903, -0.732703, 0.0926182, 0.0400415, 0.0920986, 0.0412226
1438869418116, 0.117243, -0.874289, 0.109338, 0.0423224, 0.10868, 0.0439858
1438869418470, 0.108633, -0.74102, 0.101168, 0.0395736, 0.100648, 0.0408787
1438869418869, 0.0279957, -0.899114, -0.017255, -0.022046, -0.0169069, -0.022314
1438869419271, 0.0534246, -0.83453, -0.0407667, -0.0345293, -0.0402595, -0.0351193
1438869419633, 0.0580807, -0.689981, -0.054603, -0.0197958, -0.0543607, -0.0204519
1438869419994, 0.0503383, -0.867831, -0.048708, -0.0127073, -0.04851, -0.0134436
1438869420388, 0.0841464, -0.711908, -0.0791119, -0.0286693, -0.0787496, -0.02965
1438869420755, 0.103406, -1.83793, 0.0875678, 0.054998, 0.0857588, 0.0577782
1438869421115, 5.04451, -137.1, -4.81005, -1.52003, 4.55828, -2.16081
1438869437673, 3.40301, -84.5101, -1.9744, -2.77168, 2.57008, -2.23051
1438869438091, 0.240376, -1.63355, 0.128732, 0.203, 0.122893, 0.206587
1438869438478, 0.127161, -1.8181, 0.125237, 0.0220357, 0.124475, 0.025998
1438869438849, 0.119499, -1.92026, 0.117275, 0.0229468, 0.11644, 0.0268636
1438869439254, 0.113772, -1.92586, 0.112707, 0.0155302, 0.112122, 0.0193091
1438869439645, 0.126304, -1.87944, 0.124596, 0.020697, 0.12385, 0.0247722
1438869440024, 0.0998428, -2.05381, 0.096345, -0.026196, 0.0972219, -0.0227263
1438869440414, 0.110964, -1.89139, 0.110153, -0.0133951, 0.110535, -0.00975221
1438869440801, 0.102064, -2.05572, 0.0910178, -0.0461822, 0.0926158, -0.0428876
1438869441185, 0.122915, -2.71865, 0.0054655, -0.122794, 0.0112836, -0.122396
1438869441548, 0.181901, -3.10807, -0.058138, -0.17236, -0.0487072, -0.175258
1438869441949, 0.189262, -3.29066, -0.0397457, -0.185042, -0.0290585, -0.187018
1438869442312, 0.163372, -3.16191, -0.00674382, -0.163232, 0.00226997, -0.163356
1438869442716, 0.127408, -2.74726, 0.1157, -0.0533517, 0.118124, -0.0477449
1438869443115, 0.117757, -2.55004, 0.106356, -0.050549, 0.1085, -0.045767
1438869443477, 0.14977, -2.94694, 0.143681, -0.0422738, 0.145664, -0.0348311
1438869443844, 0.142217, -3.04947, 0.137013, -0.0381192, 0.138847, -0.0307764
1438869444210, 0.158944, -3.01628, 0.156048, -0.0302026, 0.157421, -0.0219495
1438869444611, 0.315639, -8.47497, -0.168632, 0.266816, -0.206113, 0.23905
1438869444987, 0.623492, -5.8672, -0.0542623, 0.621127, -0.117471, 0.612326
1438869445358, 0.628789, -5.92054, -0.0463295, 0.62708, -0.110765, 0.618956
1438869445728, 0.639886, -6.48998, -0.000711591, 0.639886, -0.073033, 0.635705
1438869446109, 0.655842, -6.42314, 0.00966112, 0.655771, -0.0637608, 0.652735
1438869446477, 0.665147, -6.47187, 0.020953, 0.664817, -0.0541156, 0.662942
1438869446873, 0.434936, -9.95634, -0.14892, 0.408647, -0.217332, 0.376745
1438869447240, 0.458, -10.7181, -0.177025, 0.422405, -0.252494, 0.382114
1438869447609, 0.249057, -11.9964, -0.188433, 0.162857, -0.218167, 0.120134
1438869447984, 0.262564, -11.9742, -0.193232, 0.177767, -0.225909, 0.133809
1438869448350, 0.274451, -12.6558, -0.184022, 0.203616, -0.224162, 0.158351
1438869448712, 0.289267, -12.5102, -0.164578, 0.237886, -0.212199, 0.196588
1438869449079, 0.332952, -12.2359, -0.184059, 0.277451, -0.23868, 0.23214
1438869449452, 0.372783, -12.626, -0.196467, 0.316809, -0.260966, 0.266203
1438869451038, 2.31541, -68.0529, -1.05139, -2.06293, 1.52047, -1.74622
1438869451945, 2.38679, -66.4123, -1.1609, -2.08544, 1.44666, -1.8984
1438869452249, 2.30745, -67.6983, -1.05578, -2.05175, 1.49762, -1.75541
1438869452744, 2.41616, -68.311, -1.28843, -2.04397, 1.4231, -1.9526
1438869453142, 2.40481, -68.5419, -1.34256, -1.99515, 1.36572, -1.97937
1438869453437, 2.29721, -68.938, -1.44382, -1.78678, 1.14853, -1.98949
1438869454260, 2.12542, -63.1653, -1.4515, -1.5526, 0.730169, -1.99606
1438869454640, 2.00054, -59.7635, -1.47534, -1.35112, 0.424371, -1.95501
1438869454974, 1.87771, -58.6734, -1.21732, -1.42966, 0.588341, -1.78316
1438869520796, 0.186029, -0.351755, -0.0391024, 0.181873, -0.0402182, 0.18163
1438869521193, 0.0374055, -0.7423, -0.0372796, 0.00306666, -0.0373162, 0.00258344
1438869521588, 0.0314717, -0.778492, -0.0314689, 0.000423592, -0.0314717, -4.01002e-06
1438869521947, 0.037584, -0.92665, -0.0372217, -0.00520558, -0.0371327, -0.00580686
