timestamp, total_error, angular_error_deg, lat_error1, long_error1, lat_error2, long_error2
1438870006316, 0.125249, -0.328025, -0.111662, -0.0567365, -0.111335, -0.0573749
1438870006756, 0.136103, -0.427306, -0.123879, -0.0563743, -0.123455, -0.0572966
1438870007144, 0.105814, -0.456152, -0.0888637, -0.0574437, -0.0884035, -0.0581494
1438870007531, 0.106589, -0.46543, -0.090816, -0.0557997, -0.0903598, -0.0565356
1438870007944, 0.0837484, -0.417137, -0.0599236, -0.0585061, -0.059496, -0.0589408
1438870008344, 0.136052, -0.725355, -0.0910979, -0.101051, -0.0898113, -0.102197
1438870008712, 0.0971726, -0.389277, -0.081982, -0.0521678, -0.0816257, -0.0527236
1438870009116, 0.0893969, -0.301128, -0.0753004, -0.0481837, -0.0750461, -0.0485787
1438870009517, 0.102345, -0.33798, -0.0874733, -0.0531312, -0.0871584, -0.0536462
1438870009885, 0.102345, -0.33798, -0.0874733, -0.0531312, -0.0871584, -0.0536462
1438870010279, 0.102345, -0.33798, -0.0874733, -0.0531312, -0.0871584, -0.0536462
1438870010660, 0.102345, -0.33798, -0.0874733, -0.0531312, -0.0871584, -0.0536462
1438870011046, 0.102345, -0.33798, -0.0874733, -0.0531312, -0.0871584, -0.0536462
1438870011484, 0.102345, -0.33798, -0.0874733, -0.0531312, -0.0871584, -0.0536462
1438870011912, 0.102345, -0.33798, -0.0874733, -0.0531312, -0.0871584, -0.0536462
1438870012278, 0.102345, -0.33798, -0.0874733, -0.0531312, -0.0871584, -0.0536462
1438870012679, 0.102345, -0.33798, -0.0874733, -0.0531312, -0.0871584, -0.0536462
1438870013078, 0.102345, -0.33798, -0.0874733, -0.0531312, -0.0871584, -0.0536462
1438870013447, 0.102345, -0.33798, -0.0874733, -0.0531312, -0.0871584, -0.0536462
1438870013843, 0.102345, -0.33798, -0.0874733, -0.0531312, -0.0871584, -0.0536462
1438870014246, 0.102345, -0.33798, -0.0874733, -0.0531312, -0.0871584, -0.0536462
1438870014644, 0.102345, -0.33798, -0.0874733, -0.0531312, -0.0871584, -0.0536462
1438870015011, 0.102345, -0.33798, -0.0874733, -0.0531312, -0.0871584, -0.0536462
1438870015445, 0.102345, -0.33798, -0.0874733, -0.0531312, -0.0871584, -0.0536462
1438870015810, 0.0988496, -0.419558, -0.0801926, -0.057796, -0.0797673, -0.0583817
1438870016212, 0.0696335, -0.444661, -0.0320987, -0.0617939, -0.0316182, -0.0620412
1438870016615, 0.068166, -0.531165, -0.026997, -0.062592, -0.0264155, -0.0628396
1438870017012, 0.0677669, -0.604678, -0.0302857, -0.0606229, -0.0296442, -0.0609391
1438870017410, 0.0731464, -0.786397, -0.0380068, -0.062497, -0.0371455, -0.0630127
1438870017812, 0.0935844, -0.723632, -0.078678, -0.0506736, -0.0780317, -0.0516633
1438870102116, 0.0248446, -1.26534, 0.00250326, 0.0247182, 0.00195681, 0.0247674
1438870102475, 0.0307547, -1.16912, -0.00410531, 0.0304795, -0.00472634, 0.0303894
1438870102835, 0.0282579, -1.21966, -0.0155266, 0.02361, -0.0160257, 0.0232741
1438870103198, 0.0289869, -1.34784, -0.0144762, 0.0251133, -0.015063, 0.0247659
1438870103560, 0.0325777, -1.24927, -0.0286876, 0.0154379, -0.0290173, 0.0148088
1438870103918, 0.0364513, -1.29775, -0.0331333, 0.0151948, -0.0334689, 0.0144405
1438870104280, 0.0543576, -1.26778, -0.0523257, 0.014723, -0.0526387, 0.0135617
1438870104638, 0.046953, -1.24491, -0.0443533, 0.0154068, -0.0446776, 0.0144395
1438870104996, 0.0538844, -1.26442, -0.0519635, 0.0142591, -0.0522655, 0.013109
