timestamp, total_error, angular_error_deg, lat_error1, long_error1, lat_error2, long_error2
1438870659481, 0.863893, -349.991, -0.149237, 0.850905, 0.000925294, 0.863893
1438870659912, 0.218537, -0.33004, -0.0582085, 0.210643, -0.0594209, 0.210304
1438870660308, 0.0747555, -0.277759, -0.0633872, 0.0396289, -0.0635786, 0.0393211
1438870660716, 0.060047, -0.299834, -0.0508437, 0.0319463, -0.0510102, 0.0316798
1438870661133, 0.0801203, -0.322056, -0.0750009, 0.0281802, -0.0751581, 0.0277581
1438870661545, 0.060322, -0.361329, -0.0540043, 0.0268752, -0.0541727, 0.0265341
1438870661962, 0.125976, -0.105904, -0.101992, 0.0739431, -0.102129, 0.0737544
1438870662376, 0.05351, -0.191406, -0.01732, 0.0506294, -0.017489, 0.0505713
1438870662811, 0.123767, 0.119715, -0.0417927, 0.116497, -0.0415492, 0.116584
1438870663257, 0.0265352, -0.358133, -0.000297665, 0.0265336, -0.000463508, 0.0265312
1438870663646, 0.0518314, -0.241124, 0.0208316, 0.0474609, 0.0206317, 0.0475482
1438870664046, 0.0655168, -0.262423, 0.0426792, 0.0497085, 0.0424511, 0.0499035
1438870664460, 0.0553776, -0.422306, 0.0308669, 0.0459773, 0.0305272, 0.0462035
1438870664849, 0.0741527, -0.495286, 0.0590718, 0.0448235, 0.0586821, 0.0453325
1438870665250, 0.0823838, -0.482931, 0.0649299, 0.050707, 0.0645002, 0.0512525
1438870665666, 0.096512, -0.517336, 0.0822493, 0.0504938, 0.0817901, 0.0512343
1438870666080, 0.112559, -0.551167, 0.100055, 0.0515616, 0.0995543, 0.0525217
1438870666479, 0.116846, -0.674051, 0.10667, 0.047692, 0.106102, 0.0489436
1438870666888, 0.123069, -0.716611, 0.113143, 0.0484217, 0.112528, 0.049833
1438870667277, 0.126839, -0.773665, 0.11674, 0.0495958, 0.11606, 0.0511676
1438870667660, 0.118785, -0.798629, 0.10579, 0.0540221, 0.105027, 0.0554913
1438870668089, 0.0385312, -0.976249, -0.0275779, -0.0269094, -0.0271154, -0.0273754
1438870668498, 0.180801, -349.296, -0.0358858, 0.177204, -0.00234929, 0.180786
1438870668655, 0.139539, -349.594, -0.0729647, 0.118942, -0.0502809, 0.130165
