timestamp, total_error, angular_error_deg, lat_error1, long_error1, lat_error2, long_error2
1438931225265, 0.296582, -0.425117, 0.170512, 0.242666, 0.168707, 0.243925
1438931225705, 0.132855, -0.940776, 0.122335, 0.0518122, 0.121468, 0.0538138
1438931226101, 0.121261, -1.34975, 0.113064, 0.0438268, 0.112, 0.0464779
1438931226535, 0.326325, -348.484, 0.0633619, 0.320115, 0.125997, 0.30102
1438931289294, 0.110492, -0.79805, -0.110195, -0.00810049, -0.110071, -0.00963452
1438931289631, 0.102145, -1.03493, -0.101253, -0.0134715, -0.100993, -0.0152981
1438931290003, 0.112301, -0.841474, -0.110612, -0.0194006, -0.110315, -0.021023
1438931290379, 0.108785, -1.48854, -0.100415, -0.0418448, -0.0992942, -0.0444392
1438931290741, 0.0789693, -2.04296, -0.0614843, -0.0495563, -0.0596786, -0.0517166
1438931291137, 0.136607, -2.55768, 0.0969478, -0.096242, 0.101146, -0.0918198
1438931291505, 0.105203, -2.3608, -0.101865, -0.026289, -0.100696, -0.0304627
1438931291856, 0.133402, -0.515604, 0.113003, -0.0708981, 0.113636, -0.0698783
1438931292247, 0.114171, 0.593774, 0.0890947, -0.0713943, 0.0883501, -0.0723137
1438931292626, 0.0537756, -1.38115, 0.052349, -0.0123042, 0.0526304, -0.0110388
1438931292985, 0.125757, -0.0530823, 0.102364, -0.0730506, 0.102432, -0.0729558
1438931293334, 0.121373, -0.698824, 0.0950796, -0.0754399, 0.0959927, -0.0742747
1438931293734, 0.152601, 0.229225, 0.110922, -0.104802, 0.110502, -0.105245
1438931294094, 0.139546, 0.247886, 0.0920177, -0.104908, 0.0915629, -0.105305
1438931294458, 0.176508, 0.149329, 0.138066, -0.109968, 0.137779, -0.110327
1438931294818, 0.307786, 0.004361, 0.111622, -0.286832, 0.1116, -0.28684
1438931295185, 0.180309, 0.188826, 0.148266, -0.102609, 0.147927, -0.103097
1438931357326, 0.781347, -351.763, -0.161925, 0.764384, -0.0507455, 0.779697
1438931357757, 0.784095, -351.652, -0.166997, 0.766105, -0.0540067, 0.782232
1438931358148, 0.216972, -0.427162, -0.0880847, 0.198287, -0.0895605, 0.197625
1438931358571, 0.0904531, -0.342946, -0.0871969, 0.024051, -0.0873393, 0.0235287
1438931359010, 0.0878136, -0.337896, -0.0811668, 0.0335138, -0.081363, 0.0330345
1438931359398, 0.117839, -0.193563, -0.109336, 0.0439505, -0.109484, 0.0435808
1438931359814, 0.105994, -0.238884, -0.0971676, 0.0423449, -0.0973433, 0.0419394
1438931360263, 0.110827, -0.156618, -0.0837748, 0.0725565, -0.0839729, 0.0723273
1438931360708, 0.119829, -0.246564, -0.0956876, 0.0721307, -0.0959971, 0.0717182
1438931361100, 0.0994368, -0.212643, -0.0662092, 0.074189, -0.0664841, 0.0739428
1438931361502, 0.0948313, -0.297623, -0.0623138, 0.071484, -0.0626843, 0.0711594
1438931361898, 0.0408477, -0.336522, -0.0323412, 0.0249517, -0.0324872, 0.0247613
1438931362337, 0.0459908, -0.298697, -0.0366533, 0.0277793, -0.0367976, 0.0275878
1438931362767, 0.0263356, -0.357285, -0.0263348, -0.000206649, -0.026333, -0.000370863
1438931363207, 0.0576034, -0.308619, -0.0568852, 0.00906794, -0.0569332, 0.0087614
1438931363665, 0.0554823, -0.364592, -0.055023, 0.00712463, -0.0550672, 0.00677436
1438931364066, 0.00832625, -0.42926, -0.0054832, 0.00626586, -0.00552999, 0.00622461
1438931364500, 0.014494, -0.314273, 0.00570207, 0.0133252, 0.0056289, 0.0133563
1438931364897, 0.039439, -0.210906, -0.031595, 0.023605, -0.0316817, 0.0234885
1438931365343, 0.115375, -0.876207, -0.0732185, -0.0891659, -0.0718464, -0.0902751
1438931365773, 0.197026, -1.18563, -0.135844, -0.142708, -0.132862, -0.145489
1438931366193, 0.197103, -1.22833, -0.137542, -0.141181, -0.134484, -0.144097
1438931366595, 0.176879, -1.1753, -0.11193, -0.136959, -0.109097, -0.139226
1438931367026, 0.178647, -1.16888, -0.118109, -0.134033, -0.115351, -0.136415
1438931367435, 0.174612, -1.20771, -0.111407, -0.134454, -0.108548, -0.136773
1438931367865, 0.163998, -1.19142, -0.0997205, -0.130197, -0.0969918, -0.132242
1438931368264, 0.157158, -1.17526, -0.0935594, -0.126275, -0.0909497, -0.128167
1438931368669, 0.154867, -1.2773, -0.0883408, -0.127199, -0.0854834, -0.129136
1438931369063, 0.198002, -1.22324, -0.161306, -0.114827, -0.158818, -0.118244
1438931369502, 0.129203, -1.11164, -0.0957614, -0.0867361, -0.0940607, -0.0885776
1438931369952, 0.0847176, -1.10704, -0.0396939, -0.074843, -0.0382405, -0.0755959
1438931370359, 0.0945874, -1.23046, -0.0550423, -0.0769228, -0.0533778, -0.078087
1438931370776, 0.0795034, -1.39188, -0.020706, -0.0767597, -0.0188354, -0.07724
1438931371166, 0.07327, -1.41866, -0.0264426, -0.0683322, -0.0247427, -0.0689659
1438931408812, 0.0786055, -0.372165, -0.0660201, 0.0426635, -0.0662958, 0.0422337
1438931409212, 0.0904258, -0.430557, -0.0859515, 0.0280918, -0.0861602, 0.0274451
1438931409577, 0.0934778, -0.512822, -0.0868987, 0.0344488, -0.0872035, 0.0336696
1438931409943, 0.105857, -0.595046, -0.101331, 0.0306233, -0.101643, 0.0295693
1438931410333, 0.0871467, -0.641239, -0.0832472, 0.0257771, -0.0835304, 0.0248438
1438931410692, 0.0783972, -0.673071, -0.0750568, 0.0226406, -0.0753176, 0.0217574
1438931411058, 0.0973149, -0.706692, -0.0943922, 0.0236708, -0.0946769, 0.0225048
1438931411452, 0.104299, -0.633973, -0.103542, 0.0125471, -0.103674, 0.0114007
1438931411811, 0.068787, -0.71754, -0.0673488, 0.0139927, -0.0675187, 0.0131482
1438931412171, 0.033979, -0.812804, -0.0328721, 0.00860194, -0.0329908, 0.00813476
1438931412531, 0.00935978, -0.851235, 0.00260999, 0.00898852, 0.00247617, 0.0090263
1438931412892, 0.0357802, -0.857267, 0.0357641, -0.00107391, 0.0357762, -0.000538705
1438931413290, 0.0650267, -0.704423, 0.0650078, 0.00156941, 0.0649836, 0.00236851
1438931413649, 0.0864247, -0.721655, 0.0864245, 0.000143383, 0.0864159, 0.00123188
1438931414013, 0.0974439, -0.810949, 0.0973417, -0.00446279, 0.0973951, -0.00308464
1438931414369, 0.097577, -0.811305, 0.0974927, -0.00405377, 0.0975403, -0.00267292
1438931414729, 0.117788, -0.723209, 0.117788, -0.000198147, 0.117781, 0.00128859
1438931415089, 0.15543, -0.709099, 0.15543, 0.000275365, 0.155415, 0.00219891
1438931415449, 0.169544, -0.817826, 0.16949, -0.00428477, 0.169534, -0.00186516
1438931415812, 0.16196, -0.991249, 0.160394, -0.0224686, 0.160759, -0.0196904
1438931416174, 0.197194, -0.918402, 0.14853, -0.129709, 0.15059, -0.127312
1438931416528, 0.150654, -0.960607, 0.148181, -0.0271851, 0.148616, -0.024697
1438931416893, 0.100363, -0.807158, 0.100201, 0.00569907, 0.100111, 0.00711004
1438931417260, 0.0761776, -0.722279, 0.0596038, -0.0474384, 0.0601971, -0.0466833
1438931417609, 0.0795296, -0.741139, 0.0631117, -0.048393, 0.0637323, -0.0475726
1438931417968, 0.0920891, -0.634329, 0.0812403, -0.0433637, 0.0817154, -0.0424617
1438931418334, 0.123415, -0.721926, 0.113583, -0.0482737, 0.114182, -0.0468388
1438931418689, 0.166696, -0.721926, 0.159239, -0.0493023, 0.159847, -0.047292
1438931419048, 0.192836, -0.648057, 0.187503, -0.0450362, 0.188, -0.0429126
1438931419407, 0.190952, -0.679773, 0.185619, -0.0448141, 0.186137, -0.0426087
1438931419807, 0.19743, -0.804058, 0.191282, -0.0488876, 0.191949, -0.0461985
1438931420207, 0.201559, -0.814937, 0.195808, -0.0478034, 0.196468, -0.0450136
1438931420647, 0.212784, -0.841546, 0.207299, -0.048002, 0.207981, -0.0449522
1438931421046, 0.219359, -0.782631, 0.214995, -0.0435406, 0.215569, -0.0405999
1438931421446, 0.225329, -0.908357, 0.220234, -0.0476447, 0.220962, -0.0441473
1438931421846, 0.229294, -0.949154, 0.22427, -0.0477344, 0.22503, -0.0440128
1438931422246, 0.229436, -0.912893, 0.225163, -0.04407, 0.225837, -0.040477
1438931422646, 0.0829643, -1.14992, -0.036803, -0.0743546, -0.0353034, -0.0750782
1438931423211, 0.082314, -1.21098, -0.059256, -0.0571342, -0.0580353, -0.0583737
1438931423649, 0.100006, -1.12405, -0.0801309, -0.0598356, -0.0789416, -0.061396
1438931424012, 0.100699, -1.04219, -0.0918601, -0.0412546, -0.0910945, -0.0429186
1438931424366, 0.100699, -1.04219, -0.0918601, -0.0412546, -0.0910945, -0.0429186
1438931424687, 0.100699, -1.04219, -0.0918601, -0.0412546, -0.0910945, -0.0429186
1438931425088, 0.101223, -1.06105, -0.0919489, -0.0423251, -0.0911493, -0.0440205
1438931425406, 0.100699, -1.04219, -0.0918601, -0.0412546, -0.0910945, -0.0429186
1438931425765, 0.101223, -1.06105, -0.0919489, -0.0423251, -0.0911493, -0.0440205
1438931426086, 0.100699, -1.04219, -0.0918601, -0.0412546, -0.0910945, -0.0429186
1438931426445, 0.100699, -1.04219, -0.0918601, -0.0412546, -0.0910945, -0.0429186
1438931426805, 0.101223, -1.06105, -0.0919489, -0.0423251, -0.0911493, -0.0440205
1438931427165, 0.101223, -1.06105, -0.0919489, -0.0423251, -0.0911493, -0.0440205
1438931427486, 0.100699, -1.04219, -0.0918601, -0.0412546, -0.0910945, -0.0429186
1438931427845, 0.101223, -1.06105, -0.0919489, -0.0423251, -0.0911493, -0.0440205
1438931428184, 0.101223, -1.06105, -0.0919489, -0.0423251, -0.0911493, -0.0440205
1438931428525, 0.101223, -1.06105, -0.0919489, -0.0423251, -0.0911493, -0.0440205
1438931428885, 0.101223, -1.06105, -0.0919489, -0.0423251, -0.0911493, -0.0440205
1438931429245, 0.101223, -1.06105, -0.0919489, -0.0423251, -0.0911493, -0.0440205
1438931429605, 0.101223, -1.06105, -0.0919489, -0.0423251, -0.0911493, -0.0440205
1438931429930, 0.101223, -1.06105, -0.0919489, -0.0423251, -0.0911493, -0.0440205
1438931430291, 0.100699, -1.04219, -0.0918601, -0.0412546, -0.0910945, -0.0429186
1438931430645, 0.101223, -1.06105, -0.0919489, -0.0423251, -0.0911493, -0.0440205
1438931431005, 0.101223, -1.06105, -0.0919489, -0.0423251, -0.0911493, -0.0440205
