timestamp, total_error, angular_error_deg, lat_error1, long_error1, lat_error2, long_error2
1438931768077, 0.0416077, 0.251414, 0.0379159, -0.0171342, 0.0378404, -0.0173004
1438931768439, 0.0585746, 0.49536, 0.0537561, -0.0232652, 0.0535529, -0.0237291
1438931768779, 0.035312, -0.0399409, 0.0284214, -0.0209562, 0.028436, -0.0209364
1438931769124, 0.0405396, -0.0390448, 0.0327672, -0.0238699, 0.0327835, -0.0238475
1438931769437, 0.0421789, -0.306806, 0.0295645, -0.0300832, 0.0297251, -0.0299244
1438931769822, 0.0995099, -1.3889, 0.0156512, -0.0982713, 0.0180285, -0.0978631
1438931770169, 0.0588022, -1.7413, -0.0486967, -0.0329594, -0.0476727, -0.0344239
1438931770566, 0.0529831, -1.61754, -0.0355348, -0.0393, -0.0344113, -0.0402874
1438931770960, 0.0651457, -1.46316, -0.0634179, 0.0149041, -0.0637778, 0.0132799
1438931771355, 0.1193, -2.25951, -0.115639, 0.0293282, -0.116705, 0.0247462
1438931771790, 0.210611, -1.68894, -0.0882447, 0.191232, -0.0938426, 0.188548
1438931832986, 5.24042, -168.229, -5.14601, -0.990218, 5.2398, -0.0804022
1438931833336, 0.286513, -0.615324, -0.0573766, 0.280709, -0.0603879, 0.280077
1438931833769, 0.124809, -0.889739, -0.072402, 0.101663, -0.0739719, 0.100526
1438931834141, 0.136895, -0.711207, -0.0933328, 0.100145, -0.0945687, 0.0989792
1438931834541, 0.16324, -0.770173, -0.125036, 0.104943, -0.126436, 0.103253
1438931834904, 0.16723, -0.841046, -0.129797, 0.105445, -0.131331, 0.103528
1438931835283, 0.151575, -0.715808, -0.107568, 0.10679, -0.108893, 0.105438
1438931835644, 0.168474, -0.638731, -0.131619, 0.105166, -0.132784, 0.103693
1438931836007, 0.172879, -0.644784, -0.135516, 0.107343, -0.136715, 0.105811
1438931836339, 0.174685, -0.657631, -0.142017, 0.101717, -0.143175, 0.10008
1438931836711, 0.166541, -0.681247, -0.134972, 0.097563, -0.136122, 0.0959513
1438931837070, 0.152913, -0.695028, -0.117493, 0.0978655, -0.118671, 0.096433
1438931837403, 0.134473, -0.771533, -0.0949571, 0.0952158, -0.0962307, 0.0939285
1438931837770, 0.114269, -0.771534, -0.0613461, 0.0964059, -0.0626386, 0.0955712
1438931838105, 0.103245, -0.695347, -0.0226128, 0.100738, -0.0238337, 0.100456
1438931838474, 0.100927, -0.769849, 0.0211407, 0.0986881, 0.0198128, 0.0989632
1438931838837, 0.282908, -0.645604, 0.0525341, 0.277988, 0.0493985, 0.278562
1438931839165, 0.122191, -0.783894, 0.0709306, 0.0994965, 0.0695627, 0.100458
1438931839538, 0.125886, -0.771534, 0.0772404, 0.0994042, 0.0758949, 0.100435
1438931839874, 0.144964, -0.771534, 0.104049, 0.100937, 0.10268, 0.102329
1438931840204, 0.179296, -0.833544, 0.147698, 0.101649, 0.146203, 0.103787
1438931840533, 0.171285, -0.797458, 0.137035, 0.102762, 0.135592, 0.104659
1438931840884, 0.185835, -0.888032, 0.155906, 0.101134, 0.15432, 0.103538
1438931841238, 0.188851, -0.755744, 0.154364, 0.108795, 0.152916, 0.110822
1438931841575, 0.195251, -0.855743, 0.164318, 0.105464, 0.162725, 0.107906
1438931841935, 0.195664, -0.839199, 0.163665, 0.107228, 0.162077, 0.109614
1438931842276, 0.09945, -1.18489, -0.0936062, -0.0335884, -0.0928916, -0.0355169
1438931842648, 0.123455, -1.69715, -0.0815228, -0.09271, -0.0787413, -0.0950837
1438931843037, 0.124251, -1.68328, -0.0857117, -0.0899547, -0.0830324, -0.0924336
1438931843367, 0.0964039, -1.69565, -0.0464356, -0.0844834, -0.0439154, -0.0858205
1438931843737, 0.097917, -1.7944, -0.051509, -0.083274, -0.0488762, -0.0848461
1438931844100, 0.0811032, -1.89119, -0.0218604, -0.0781015, -0.019271, -0.0787804
1438931844440, 0.0849405, -1.97404, -0.04669, -0.0709573, -0.044218, -0.0725235
1438931844772, 0.07022, -2.02191, -0.0288724, -0.0640097, -0.0265961, -0.0649885
1438931875396, 0.309158, -1.95687, -0.296046, -0.0890818, -0.292831, -0.0991389
1438931875828, 0.322135, -2.09069, -0.310919, -0.0842651, -0.307638, -0.0955518
1438931876231, 0.318793, -2.01486, -0.309892, -0.0748077, -0.30707, -0.0856568
1438931876642, 0.325401, -2.16847, -0.311239, 0.0949546, -0.314609, 0.08311
1438931877067, 0.369726, -2.03531, -0.287535, -0.232423, -0.279099, -0.242488
1438931877436, 0.290543, -1.1119, -0.290366, 0.0101463, -0.290508, 0.00450981
1438931877871, 0.282738, -1.00866, -0.282666, 0.00636332, -0.282734, 0.0013864
1438931878264, 0.15866, -0.948168, -0.157503, 0.0191239, -0.157798, 0.0165149
1438931878741, 0.129823, -0.781582, -0.126529, 0.0290619, -0.126913, 0.0273333
1438931879147, 0.133407, -0.799122, -0.131479, 0.0225966, -0.131782, 0.0207607
1438931879542, 0.145548, -0.934559, -0.145542, 0.00127875, -0.145544, -0.00109527
1438931879981, 0.136525, -0.951989, -0.136265, -0.00842334, -0.136106, -0.0106862
1438931880378, 0.143238, -1.00462, -0.142331, -0.0160974, -0.142026, -0.0185904
1438931880779, 0.132854, -0.973432, -0.131603, -0.0181901, -0.131275, -0.0204232
1438931881218, 0.0791984, -1.01434, -0.0758551, -0.0227679, -0.0754402, -0.0241072
1438931881618, 0.0709779, -1.05565, -0.0675449, -0.0218073, -0.0671316, -0.023048
1438931882073, 0.0755507, -1.04111, -0.0740218, -0.0151222, -0.0737348, -0.0164647
1438931882458, 0.0707194, -1.10061, -0.0691524, -0.0148051, -0.0688552, -0.0161307
1438931882859, 0.0710157, -1.16256, -0.0695175, -0.0145102, -0.0692088, -0.0159177
1438931883299, 0.0725284, -1.22049, -0.071384, -0.0128334, -0.0710945, -0.014351
1438931933132, 31.8425, -215.585, 3.14285, -31.687, -20.9947, 23.9409
1438931933534, 32.1946, -214.624, 3.00072, -32.0544, -20.6821, 24.6727
1438931933933, 32.312, -49.1426, -0.549083, 32.3074, -24.7945, 20.7195
1438931934298, 32.2504, -43.5632, -0.837058, 32.2395, -22.8246, 22.7844
1438931934700, 32.4117, -43.9951, -1.13653, 32.3918, -23.3169, 22.5132
1438931935072, 32.5554, -29.8629, -0.670891, 32.5485, -16.7886, 27.8926
1438931935467, 32.5213, -31.0649, -0.872539, 32.5096, -17.5226, 27.3969
1438931935804, 32.6151, -30.2296, -0.82558, 32.6047, -17.1287, 27.7553
1438931936168, 32.6127, -30.0541, -0.933668, 32.5994, -17.1345, 27.7489
1438931936537, 32.6886, -29.4945, -0.867247, 32.6771, -16.8431, 28.0153
1438931936902, 32.755, -28.7141, -0.992577, 32.74, -16.6001, 28.237
1438931937264, 32.777, -27.7691, -1.18068, 32.7558, -16.3059, 28.4333
1438931937636, 32.7933, -27.3464, -1.33572, 32.7661, -16.2381, 28.4907
1438931937970, 32.7913, -27.1655, -1.4253, 32.7603, -16.2252, 28.4958
1438931938301, 32.7808, -27.0512, -1.46915, 32.7479, -16.2017, 28.4971
1438931938641, 32.7775, -26.6165, -1.71078, 32.7328, -16.1943, 28.4975
1438931938998, 32.7899, -26.4934, -2.06395, 32.7249, -16.4456, 28.3676
1438931939330, 32.8286, -26.866, -2.50093, 32.7332, -17.0233, 28.07
1438931939669, 32.8516, -26.9568, -2.91102, 32.7224, -17.4284, 27.8474
1438931940030, 32.8725, -27.1182, -3.22628, 32.7138, -17.7835, 27.6469
1438931940365, 33.0759, -26.0131, -3.37863, 32.9028, -17.4668, 28.0878
1438931940734, 33.1443, -25.7158, -3.39293, 32.9702, -17.3629, 28.2325
1438931941103, 33.0661, -25.9341, -3.55622, 32.8743, -17.5752, 28.0085
1438931941464, 33.1238, -24.8845, -3.92474, 32.8905, -17.4004, 28.1853
1438931941836, 33.1509, -25.3587, -4.35061, 32.8642, -18.0066, 27.8342
1438931942162, 33.1597, -25.2601, -4.80931, 32.8091, -18.35, 27.6196
1438931942536, 33.1991, -25.6449, -5.44497, 32.7495, -19.0824, 27.1669
1438931942864, 33.2367, -25.8086, -6.21844, 32.6498, -19.8128, 26.6858
1438931943229, 33.3088, -25.8854, -7.26886, 32.506, -20.7308, 26.0713
1438931943563, 33.3595, -27.0196, -8.34387, 32.2992, -22.1065, 24.9832
1438931943896, 33.4214, -27.3176, -9.61993, 32.0069, -23.2358, 24.0226
1438931944274, 33.6985, -28.5137, -11.1988, 31.7833, -25.0127, 22.5821
1438931964719, 27.2436, -264.717, -10.7544, -25.0312, -23.9347, 13.0133
1438931965114, 27.4354, -265.601, -11.0667, -25.1043, -24.1814, 12.9598
1438931965529, 28.8026, -4.1882, -26.4249, 11.4594, -27.1912, 9.49893
1438931965936, 28.7866, -4.32793, -26.5465, 11.1334, -27.311, 9.09834
1438931966292, 28.7619, -3.92487, -26.5186, 11.1359, -27.2187, 9.29462
1438931966682, 28.8226, -4.37199, -26.5934, 11.1146, -27.3633, 9.05498
1438931967066, 28.8008, -3.9644, -26.6488, 10.9237, -27.3403, 9.05512
1438931967447, 28.8208, -4.41478, -26.8189, 10.5538, -27.5517, 8.45808
1438931967825, 28.8133, -4.43181, -26.9469, 10.2016, -27.6546, 8.08883
1438931968239, 28.7821, -4.20413, -27.0078, 9.94927, -27.6646, 7.94255
1438931968606, 28.7674, -4.13957, -27.0062, 9.91097, -27.6512, 7.93564
1438931968972, 28.7684, -4.08209, -27.0164, 9.88586, -27.6516, 7.9376
1438931969345, 28.759, -3.9048, -27.0373, 9.80113, -27.642, 7.93716
1438931969720, 28.7265, -3.56587, -27.0636, 9.632, -27.6103, 7.9301
1438931970079, 28.7083, -3.39574, -27.0752, 9.54482, -27.593, 7.92435
1438931970482, 28.6772, -2.93617, -27.1195, 9.32287, -27.5615, 7.92148
